starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	19
Tue Jun 19 18:00:38 2018	1529402438	1	19	19	16
Tue Jun 19 18:00:38 2018	1529402438	6	14	19	13
Tue Jun 19 18:00:38 2018	1529402438	1	19	19	16
Tue Jun 19 18:00:39 2018	1529402439	0	19	19	19
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	17
Tue Jun 19 18:00:38 2018	1529402438	1	18	19	17
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	19
Tue Jun 19 18:00:38 2018	1529402438	3	17	19	17
Tue Jun 19 18:00:38 2018	1529402438	1	19	20	17
Tue Jun 19 18:00:38 2018	1529402438	1	19	20	17
Tue Jun 19 18:00:38 2018	1529402438	0	19	20	17
Tue Jun 19 18:00:38 2018	1529402438	0	19	20	19
Tue Jun 19 18:00:38 2018	1529402438	3	16	20	16
Tue Jun 19 18:00:38 2018	1529402438	0	19	20	19
Tue Jun 19 18:00:38 2018	1529402438	3	17	20	16
Tue Jun 19 18:00:39 2018	1529402439	0	20	20	18
Tue Jun 19 18:00:38 2018	1529402438	3	17	20	17
Tue Jun 19 18:00:38 2018	1529402438	0	19	20	17
Tue Jun 19 18:00:39 2018	1529402439	0	20	20	18
Tue Jun 19 18:00:38 2018	1529402438	0	20	20	18
Tue Jun 19 18:00:39 2018	1529402439	1	19	20	19
Tue Jun 19 18:00:38 2018	1529402438	3	17	20	12
Tue Jun 19 18:00:38 2018	1529402438	0	20	20	19
Tue Jun 19 18:00:38 2018	1529402438	0	20	20	19
Tue Jun 19 18:00:39 2018	1529402439	0	20	20	19
Tue Jun 19 18:00:38 2018	1529402438	0	20	20	18
Tue Jun 19 18:00:39 2018	1529402439	0	20	20	19
Tue Jun 19 18:00:38 2018	1529402438	3	17	20	17
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	20
Tue Jun 19 18:00:38 2018	1529402438	3	17	21	17
Tue Jun 19 18:00:38 2018	1529402438	0	20	21	17
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	20
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	20
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	20
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	19
Tue Jun 19 18:00:39 2018	1529402439	0	21	21	21
Tue Jun 19 18:00:38 2018	1529402438	3	18	21	18
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	21
Tue Jun 19 18:00:38 2018	1529402438	2	19	21	18
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	20
Tue Jun 19 18:00:39 2018	1529402439	0	21	21	20
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	20
Tue Jun 19 18:00:38 2018	1529402438	5	16	21	16
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	20
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	20
Tue Jun 19 18:00:39 2018	1529402439	0	21	21	19
Tue Jun 19 18:00:39 2018	1529402439	0	21	21	18
Tue Jun 19 18:00:38 2018	1529402438	0	21	22	21
Tue Jun 19 18:00:38 2018	1529402438	2	19	22	19
Tue Jun 19 18:00:39 2018	1529402439	0	21	22	21
Tue Jun 19 18:00:38 2018	1529402438	0	21	22	19
Tue Jun 19 18:00:38 2018	1529402438	0	21	22	21
Tue Jun 19 18:00:38 2018	1529402438	1	21	22	21
Tue Jun 19 18:00:39 2018	1529402439	1	21	22	18
Tue Jun 19 18:00:38 2018	1529402438	0	21	22	21
Tue Jun 19 18:00:39 2018	1529402439	1	21	22	18
Tue Jun 19 18:00:38 2018	1529402438	0	21	22	19
Tue Jun 19 18:00:38 2018	1529402438	0	22	22	22
Tue Jun 19 18:00:38 2018	1529402438	1	21	22	20
Tue Jun 19 18:00:38 2018	1529402438	0	22	22	21
Tue Jun 19 18:00:38 2018	1529402438	6	16	22	15
Tue Jun 19 18:00:38 2018	1529402438	0	21	22	21
Tue Jun 19 18:00:38 2018	1529402438	1	21	22	21
Tue Jun 19 18:00:38 2018	1529402438	0	21	22	19
Tue Jun 19 18:00:39 2018	1529402439	1	21	22	20
Tue Jun 19 18:00:38 2018	1529402438	0	22	22	21
Tue Jun 19 18:00:39 2018	1529402439	1	21	22	20
Tue Jun 19 18:00:38 2018	1529402438	1	21	22	21
Tue Jun 19 18:00:39 2018	1529402439	1	22	22	20
Tue Jun 19 18:00:39 2018	1529402439	1	22	22	20
Tue Jun 19 18:00:38 2018	1529402438	0	22	22	20
Tue Jun 19 18:00:38 2018	1529402438	0	22	22	22
Tue Jun 19 18:00:38 2018	1529402438	0	22	22	22
Tue Jun 19 18:00:38 2018	1529402438	0	22	22	21
Tue Jun 19 18:00:38 2018	1529402438	0	22	22	22
Tue Jun 19 18:00:39 2018	1529402439	1	22	22	20
Tue Jun 19 18:00:39 2018	1529402439	1	22	22	21
Tue Jun 19 18:00:39 2018	1529402439	1	22	23	21
Tue Jun 19 18:00:39 2018	1529402439	0	22	23	22
Tue Jun 19 18:00:38 2018	1529402438	0	22	23	22
Tue Jun 19 18:00:39 2018	1529402439	0	22	23	14
Tue Jun 19 18:00:38 2018	1529402438	0	22	23	22
Tue Jun 19 18:00:38 2018	1529402438	0	22	23	22
Tue Jun 19 18:00:39 2018	1529402439	0	23	23	22
Tue Jun 19 18:00:38 2018	1529402438	0	23	23	20
Tue Jun 19 18:00:38 2018	1529402438	0	23	23	21
Tue Jun 19 18:00:39 2018	1529402439	0	23	23	19
Tue Jun 19 18:00:39 2018	1529402439	0	22	23	22
Tue Jun 19 18:00:38 2018	1529402438	0	22	23	22
Tue Jun 19 18:00:39 2018	1529402439	0	23	23	23
Tue Jun 19 18:00:38 2018	1529402438	0	22	23	22
Tue Jun 19 18:00:38 2018	1529402438	0	22	23	22
Tue Jun 19 18:00:39 2018	1529402439	0	23	23	21
Tue Jun 19 18:00:38 2018	1529402438	1	22	23	22
Tue Jun 19 18:00:39 2018	1529402439	0	23	23	23
Tue Jun 19 18:00:38 2018	1529402438	0	23	23	22
Tue Jun 19 18:00:38 2018	1529402438	0	23	23	16
Tue Jun 19 18:00:38 2018	1529402438	2	21	23	21
Tue Jun 19 18:00:38 2018	1529402438	0	23	23	23
Tue Jun 19 18:00:39 2018	1529402439	0	23	23	20
Tue Jun 19 18:00:38 2018	1529402438	1	23	23	20
Tue Jun 19 18:00:38 2018	1529402438	0	23	23	23
Tue Jun 19 18:00:38 2018	1529402438	0	23	23	23
Tue Jun 19 18:00:38 2018	1529402438	1	22	23	21
Tue Jun 19 18:00:39 2018	1529402439	1	23	23	21
Tue Jun 19 18:00:38 2018	1529402438	0	23	24	23
Tue Jun 19 18:00:38 2018	1529402438	0	23	24	23
Tue Jun 19 18:00:39 2018	1529402439	0	23	24	23
Tue Jun 19 18:00:38 2018	1529402438	0	24	24	24
Tue Jun 19 18:00:39 2018	1529402439	0	24	24	23
Tue Jun 19 18:00:38 2018	1529402438	1	23	24	21
Tue Jun 19 18:00:38 2018	1529402438	0	24	24	19
Tue Jun 19 18:00:39 2018	1529402439	0	23	24	23
Tue Jun 19 18:00:39 2018	1529402439	1	23	24	23
Tue Jun 19 18:00:38 2018	1529402438	0	24	24	22
Tue Jun 19 18:00:38 2018	1529402438	0	24	24	24
Tue Jun 19 18:00:38 2018	1529402438	1	23	24	23
Tue Jun 19 18:00:38 2018	1529402438	1	23	24	22
Tue Jun 19 18:00:38 2018	1529402438	0	24	24	20
Tue Jun 19 18:00:38 2018	1529402438	0	24	24	23
