starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:21:56 2018	1529403716	0	28	28	28
Tue Jun 19 18:21:56 2018	1529403716	0	28	28	28
Tue Jun 19 18:21:56 2018	1529403716	1	27	28	27
Tue Jun 19 18:21:56 2018	1529403716	0	28	28	28
Tue Jun 19 18:21:57 2018	1529403717	2	26	28	25
Tue Jun 19 18:21:56 2018	1529403716	1	27	28	27
Tue Jun 19 18:21:57 2018	1529403717	1	27	28	27
Tue Jun 19 18:21:56 2018	1529403716	0	28	29	28
Tue Jun 19 18:21:57 2018	1529403717	1	28	29	26
Tue Jun 19 18:21:56 2018	1529403716	1	28	29	28
Tue Jun 19 18:21:56 2018	1529403716	0	28	29	28
Tue Jun 19 18:21:56 2018	1529403716	0	28	29	28
Tue Jun 19 18:21:57 2018	1529403717	0	28	29	27
Tue Jun 19 18:21:56 2018	1529403716	0	28	29	28
Tue Jun 19 18:21:57 2018	1529403717	1	28	29	24
Tue Jun 19 18:21:56 2018	1529403716	0	28	29	26
Tue Jun 19 18:21:56 2018	1529403716	1	28	29	28
Tue Jun 19 18:21:56 2018	1529403716	0	28	29	25
Tue Jun 19 18:21:56 2018	1529403716	1	28	29	28
Tue Jun 19 18:21:57 2018	1529403717	0	29	29	27
Tue Jun 19 18:21:56 2018	1529403716	1	28	29	28
Tue Jun 19 18:21:57 2018	1529403717	2	27	29	25
Tue Jun 19 18:21:57 2018	1529403717	0	29	29	24
Tue Jun 19 18:21:57 2018	1529403717	0	29	29	27
Tue Jun 19 18:21:56 2018	1529403716	0	29	29	29
Tue Jun 19 18:21:56 2018	1529403716	1	28	29	28
Tue Jun 19 18:21:56 2018	1529403716	0	29	29	26
Tue Jun 19 18:21:56 2018	1529403716	0	29	29	26
Tue Jun 19 18:21:56 2018	1529403716	0	29	29	29
Tue Jun 19 18:21:57 2018	1529403717	0	29	29	28
Tue Jun 19 18:21:57 2018	1529403717	0	29	29	29
Tue Jun 19 18:21:56 2018	1529403716	0	29	29	27
Tue Jun 19 18:21:56 2018	1529403716	0	29	29	29
Tue Jun 19 18:21:57 2018	1529403717	1	28	29	25
Tue Jun 19 18:21:56 2018	1529403716	1	29	29	28
Tue Jun 19 18:21:56 2018	1529403716	0	29	29	26
Tue Jun 19 18:21:56 2018	1529403716	0	29	29	29
Tue Jun 19 18:21:56 2018	1529403716	0	29	29	28
Tue Jun 19 18:21:57 2018	1529403717	1	28	30	24
Tue Jun 19 18:21:57 2018	1529403717	2	28	30	25
Tue Jun 19 18:21:56 2018	1529403716	0	29	30	26
Tue Jun 19 18:21:56 2018	1529403716	0	29	30	29
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	29
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	29
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	29
Tue Jun 19 18:21:56 2018	1529403716	2	28	30	28
Tue Jun 19 18:21:56 2018	1529403716	1	29	30	29
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	29
Tue Jun 19 18:21:56 2018	1529403716	1	29	30	29
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	24
Tue Jun 19 18:21:57 2018	1529403717	2	28	30	25
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	30
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	30
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	30
Tue Jun 19 18:21:57 2018	1529403717	2	29	30	28
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	30
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	29
Tue Jun 19 18:21:56 2018	1529403716	1	30	30	29
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	27
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	30
Tue Jun 19 18:21:56 2018	1529403716	1	30	30	29
Tue Jun 19 18:21:56 2018	1529403716	1	30	30	28
Tue Jun 19 18:21:56 2018	1529403716	0	30	30	30
Tue Jun 19 18:21:56 2018	1529403716	1	30	30	29
Tue Jun 19 18:21:56 2018	1529403716	0	30	31	27
Tue Jun 19 18:21:56 2018	1529403716	2	29	31	28
Tue Jun 19 18:21:56 2018	1529403716	0	30	31	24
Tue Jun 19 18:21:57 2018	1529403717	2	29	31	25
Tue Jun 19 18:21:56 2018	1529403716	0	30	31	30
Tue Jun 19 18:21:56 2018	1529403716	1	30	31	23
Tue Jun 19 18:21:57 2018	1529403717	2	28	31	25
Tue Jun 19 18:21:56 2018	1529403716	1	30	31	30
Tue Jun 19 18:21:56 2018	1529403716	1	30	31	29
Tue Jun 19 18:21:57 2018	1529403717	0	30	31	30
Tue Jun 19 18:21:56 2018	1529403716	0	30	31	29
Tue Jun 19 18:21:56 2018	1529403716	0	30	31	27
Tue Jun 19 18:21:56 2018	1529403716	0	30	31	30
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	30
